                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0269,                 0.4964,                0.96002,                0.96057,                0.96668,                0.98551,                0.68445,                 1.2141,                0.53083,                 1.0598,               0.000713,               0.000713,               0.000713
                     68,                 1.0168,                0.50497,                0.96242,                0.97817,                0.94444,                0.98356,                0.68593,                 1.1651,                0.49728,                 1.0265,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0173,                0.48012,                 0.9516,                0.98012,                0.95238,                0.98496,                 0.6819,                  1.149,                0.49095,                 1.0241,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0141,                0.49126,                0.93468,                 0.9735,                0.96825,                0.98305,                0.68053,                 1.1409,                 0.4828,                 1.0245,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.031,                0.50064,                0.95761,                0.95787,                0.98413,                0.98298,                0.66909,                 1.1917,                0.50615,                 1.0367,              0.0006338,              0.0006338,              0.0006338
                     72,                   1.03,                0.50974,                0.94593,                0.95731,                0.97619,                0.98313,                0.68789,                  1.132,                0.48734,                 1.0169,               0.000614,               0.000614,               0.000614
                     73,                0.99363,                0.47838,                0.93641,                0.97598,                0.96739,                0.98662,                0.67837,                 1.1864,                0.49452,                 1.0282,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0061,                0.49689,                0.94756,                0.97018,                0.96032,                 0.9793,                0.67541,                 1.1746,                0.49789,                 1.0206,              0.0005744,              0.0005744,              0.0005744
                     75,                0.97947,                0.48446,                0.94411,                 0.9744,                0.96825,                0.98348,                0.68376,                 1.1767,                0.48997,                 1.0221,              0.0005546,              0.0005546,              0.0005546
                     76,                0.98142,                0.46716,                0.93728,                0.97501,                0.96825,                0.98624,                0.68172,                  1.141,                0.47395,                 1.0163,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.9844,                0.47265,                 0.9373,                0.98368,                 0.9567,                0.98659,                0.70523,                 1.1215,                0.48518,                 1.0049,               0.000515,               0.000515,               0.000515
                     78,                 1.0194,                0.46746,                0.95212,                0.96008,                0.97619,                0.98489,                0.68673,                 1.1832,                0.48594,                 1.0165,              0.0004952,              0.0004952,              0.0004952
